date,ticker,day_open,adv_20d,n_1min_bars
2025-02-03,ABSI,3.46,484648.09900000005,206
2025-02-03,AGL,3.22,535275.6675,217
2025-02-03,ALAB,88.15,22905591.758,330
2025-02-03,APLD,6.53,3522423.9634999996,371
2025-02-03,ASPI,5.11,364654.84125,200
2025-02-03,ASTS,18.965,3978680.53175,296
2025-02-03,ATOM,8.16,269964.8895,52
2025-02-03,BBAI,3.835,1871620.641,195
2025-02-03,BBBY,8.15,534013.0455,271
2025-02-03,BE,21.975,7130376.262999999,245
2025-02-03,BILI,16.15,3414446.6245,320
2025-02-03,BITU,48.105,988929.7432499999,130
2025-02-03,BITX,51.1,4136293.4439999997,232
2025-02-03,BKSY,14.385,380108.72975,76
2025-02-03,BTBT,2.88,661143.84375,186
2025-02-03,CGC,1.85,329943.12124999997,73
2025-02-03,CIFR,5.15,1611294.67475,274
2025-02-03,CLS,110.29,22908617.07925,375
2025-02-03,CONL,40.05,2445857.631,111
2025-02-03,CRDO,63.74,15730580.80875,308
2025-02-03,CX,5.65,2682661.3044999996,288
2025-02-03,DWTX,11.44,666914.4094117647,51
2025-02-03,DXYZ,49.74,946058.356,50
2025-02-03,ENPH,60.08,8653058.379999999,298
2025-02-03,ETHU,3.93,1153363.34825,255
2025-02-03,EVGO,3.205,779413.4955,238
2025-02-03,FN,206.505,8760723.6835,167
2025-02-03,FTAI,97.89,35234083.30625,290
2025-02-03,GDS,22.095,3685179.50175,316
2025-02-03,HIMS,35.02,9943006.82125,371
2025-02-03,HIVE,2.68,738762.22375,252
2025-02-03,HOLO,1.37,676214.71225,141
2025-02-03,HSAI,15.405,1101709.66725,140
2025-02-03,HUT,18.93,4370092.3165,327
2025-02-03,IONQ,37.62,13775332.527,317
2025-02-03,IOVA,5.56,2700993.4732500003,283
2025-02-03,IREN,9.31,4307421.2524999995,360
2025-02-03,KC,14.92,858578.38325,293
2025-02-03,KEEL,1.32,1111925.6395,236
2025-02-03,KITT,1.53,416371.78425,72
2025-02-03,KULR,1.87,705703.97175,145
2025-02-03,KURA,7.61,507841.87,263
2025-02-03,LTBR,8.26,378598.453,124
2025-02-03,LUNR,20.25,5082976.78075,300
2025-02-03,MMYT,108.35,5365992.563,176
2025-02-03,MSTR,310,99112864.1285,330
2025-02-03,MSTU,7.865,5730265.472250001,245
2025-02-03,MSTX,37.01,6156145.663000001,227
2025-02-03,NBIS,29.95,8820386.713,336
2025-02-03,NNE,34.78,3472204.60175,220
2025-02-03,OKLO,38.75,15022620.93125,372
2025-02-03,OPFI,12.93,715919.47375,120
2025-02-03,PGY,8.93,425040.5945,193
2025-02-03,PLAY,26.065,2428196.858,200
2025-02-03,PLUG,1.785,4702065.57425,277
2025-02-03,PSIX,38.7,373836.606,45
2025-02-03,PTCT,45.73,1369138.38575,90
2025-02-03,PTIR,140.45,1117675.5332499999,53
2025-02-03,RCAT,8.02,1615514.664,269
2025-02-03,RIOT,10.87,9618799.77375,344
2025-02-03,RLAY,4.26,571418.28925,219
2025-02-03,ROOT,94.03,1275577.99975,103
2025-02-03,RR,2.13,897108.20525,214
2025-02-03,SEDG,12.52,1990497.1240000003,200
2025-02-03,SES,1.05,399900.0442,152
2025-02-03,SMR,21.475,5671822.103,308
2025-02-03,SOUN,13.08,10185035.58,342
2025-02-03,SPT,32.09,1142814.3555,150
2025-02-03,SVIX,23.71,673829.8535,113
2025-02-03,SVM,3.06,349975.52999999997,107
2025-02-03,TEM,53.45,11496470.6235,336
2025-02-03,TSLQ,27.2,1973485.9762499998,267
2025-02-03,TWST,45.3,2691697.8855,222
2025-02-03,VRT,105.775,57015904.916999996,385
2025-02-03,VSA,0.769,344912.06542,126
2025-02-03,WAY,37.89,2459499.709,123
2025-02-03,WGMI,20.61,323323.92875,21
2025-02-03,WULF,4.295,4494545.759749999,359
2025-02-03,XMTR,32.455,1189838.41325,97
2025-02-03,XPEV,14.93,4542261.511,321
2025-02-03,YINN,29.47,4780752.5565,238
2025-02-04,AAOI,24.09,3538544.696,286
2025-02-04,ABSI,3.685,484648.09900000005,247
2025-02-04,AG,5.87,2197249.3115,240
2025-02-04,ALOY,2.82,290590.8217647059,2
2025-02-04,AMDL,6.82,1475237.12725,257
2025-02-04,ANNX,3.475,317778.889,117
2025-02-04,AOSL,40.17,969633.41225,135
2025-02-04,APA,21.16,5495050.089500001,339
2025-02-04,ARHS,11.69,868881.6939999999,150
2025-02-04,ARRY,6.97,1656350.5265000002,224
2025-02-04,ARVN,17.2,597268.3795,121
2025-02-04,ASTS,22.16,3978680.53175,290
2025-02-04,ATKR,64.48,2623725.6025,306
2025-02-04,ATOM,8.36,269964.8895,70
2025-02-04,AVAV,176,2511638.9875,93
2025-02-04,BBAI,4.465,1871620.641,331
2025-02-04,BBBY,7.31,534013.0455,317
2025-02-04,BBIO,31.09,4729355.7295,183
2025-02-04,BFLY,3.985,545615.36675,300
2025-02-04,BKSY,16.17,380108.72975,139
2025-02-04,BMBL,8.025,554570.15275,142
2025-02-04,BOIL,55.035,1815592.1486842106,91
2025-02-04,BORR,3.325,808250.48,123
2025-02-04,BTU,17.11,2900746.961,230
2025-02-04,CLF,9.74,5111217.477750001,318
2025-02-04,CLMT,16.69,1350059.9952500002,147
2025-02-04,CLNE,3.075,272595.2875,161
2025-02-04,CLOV,4.3,692870.54775,201
2025-02-04,CLS,122.865,22908617.07925,345
2025-02-04,CMP,11.55,344079.235,55
2025-02-04,CRMD,9.845,723708.863,68
2025-02-04,CRNC,11.45,3355862.175,171
2025-02-04,CRVL,116.43,469980.279,13
2025-02-04,CSIQ,9.775,860984.2390000001,152
2025-02-04,CVE,14.12,7750512.3495000005,313
2025-02-04,DBI,4.7,301534.9615,131
2025-02-04,DHT,11.305,893928.2805,239
2025-02-04,DINO,35.3,4369741.9885,256
2025-02-04,DK,18.165,926353.37225,178
2025-02-04,DNA,13.39,564240.9995,171
2025-02-04,DNLI,22.015,1144522.40025,159
2025-02-04,DYN,13.805,2057877.0822500002,135
2025-02-04,EOSE,5.56,995109.6140000001,244
2025-02-04,EPD,31.8,7196403.788500001,373
2025-02-04,EVER,20.4,422859.23175,80
2025-02-04,FRO,17.43,2638877.47375,284
