date,ticker,day_open,adv_20d,n_1min_bars
2025-02-25,AAP,43.32,3681490.71875,270
2025-02-25,ACH,6.555,381253.7735,169
2025-02-25,AHCO,9.7,554542.96375,342
2025-02-25,AMT,197.51,15268272.30025,321
2025-02-25,AORT,24.875,454708.45925,177
2025-02-25,ARE,97.6,5528348.631,197
2025-02-25,ARHS,11.64,868881.6939999999,267
2025-02-25,ARVN,16.825,597268.3795,250
2025-02-25,ARWR,18.65,1555678.085,167
2025-02-25,AS,26.53,4513002.836,374
2025-02-25,AXGN,17.57,487292.855,122
2025-02-25,BBIO,34.05,4729355.7295,348
2025-02-25,BBW,38.83,516883.07625000004,57
2025-02-25,BHC,7.3,455360.87549999997,160
2025-02-25,BIIB,140.14,8235334.14425,192
2025-02-25,BJRI,38.25,414185.57525,55
2025-02-25,BLD,297.855,7926099.75475,148
2025-02-25,BZH,23.2,302040.76275,48
2025-02-25,CALY,6.41,917234.729,269
2025-02-25,CAPR,14.615,357366.00375000003,167
2025-02-25,CE,53.01,8040154.473,305
2025-02-25,CECO,24.515,521592.50675,74
2025-02-25,CENX,18.39,1423279.2492499999,304
2025-02-25,CTRA,26.55,8585336.52175,374
2025-02-25,CYH,3.73,417177.64475000004,278
2025-02-25,DEA,10.84,381407.682,253
2025-02-25,DFH,23.335,418623.09050000005,146
2025-02-25,DNUT,6.435,695906.14825,328
2025-02-25,DPZ,455,13526523.40825,93
2025-02-25,DRIP,10.47,697316.8745,131
2025-02-25,DRVN,14.615,371258.287,148
2025-02-25,DUST,47.01,398331.733,93
2025-02-25,ECG,38.24,2111798.89525,152
2025-02-25,ETHU,3.44,1153363.34825,188
2025-02-25,FAZ,5.38,2316966.0912499996,208
2025-02-25,FICO,1723.205,24526512.1085,28
2025-02-25,FNGD,13.48,937850.4835000001,179
2025-02-25,GDYN,19.86,805331.0765,131
2025-02-25,HD,384.98,50535947.9425,298
2025-02-25,HLIO,43.86,373777.33925,73
2025-02-25,HRMY,34.59,1160224.4817499998,145
2025-02-25,IART,22.31,617431.4685000001,143
2025-02-25,IMNM,9.3,409762.02375000005,150
2025-02-25,JBTM,119.04,1887418.3872500001,155
2025-02-25,JELD,5.81,286730.28475,130
2025-02-25,KITT,1.11,416371.78425,35
2025-02-25,KRUS,64.025,939208.24025,81
2025-02-25,LABD,7.14,1773740.56225,222
2025-02-25,LAES,3.025,1491159.375,214
2025-02-25,LMB,78.82,1112401.4515,14
2025-02-25,LUMN,4.31,1788031.7510000002,277
2025-02-25,MSTZ,25.115,2117580.006,373
2025-02-25,MTH,73.11,3788458.739,119
2025-02-25,MYGN,9.96,728353.6665,225
2025-02-25,NAIL,69.94,741832.971,54
2025-02-25,NOVT,139.095,1676401.99075,88
2025-02-25,NVD,26.895,643940.873,84
2025-02-25,NVDQ,3.03,723379.396,93
2025-02-25,NVDS,24.265,412061.02650000004,49
2025-02-25,NVRI,6.86,267530.97400000005,127
2025-02-25,NVTS,2.33,301605.03125,260
2025-02-25,NWL,6.495,1865372.08975,278
2025-02-25,ODD,42.55,931643.89325,137
2025-02-25,OGN,15.21,1986763.2355,289
2025-02-25,OPEN,1.4,1182142.6039999998,232
2025-02-25,ORIC,7.5,397622.9405,159
2025-02-25,OSCR,14.975,2513232.24375,306
2025-02-25,PFSI,99.585,3961978.63925,52
2025-02-25,PTLO,14.4,1043606.38925,275
2025-02-25,QMCO,12.71,588302.1537499999,36
2025-02-25,RKT,13.235,1417577.8630000001,306
2025-02-25,RUN,8.33,4084174.6355,290
2025-02-25,SBIT,12.175,343888.0295,169
2025-02-25,SCO,16.97,541640.54825,85
2025-02-25,SHLS,3.895,1570205.7955,318
2025-02-25,SLXN,1.05,287072.29456666665,162
2025-02-25,SMST,7.4,1768608.73375,364
2025-02-25,SOLV,78.57,3112992.2155,291
2025-02-25,SONO,12.88,1117811.05725,180
2025-02-25,SOXS,20.32,25784777.448250003,388
2025-02-25,SQQQ,29.6,33571568.70575,343
2025-02-25,STN,78.59,292346.78174999997,24
2025-02-25,STRL,108.59,4498386.4005,162
2025-02-25,TEM,58.52,11496470.6235,360
2025-02-25,TH,5.025,507464.5675,242
2025-02-25,TMHC,60.96,2323718.5175,215
2025-02-25,TSDD,46.37,306744.18175,25
2025-02-25,TSLQ,36.46,1973485.9762499998,264
2025-02-25,TSLS,9.85,638501.7162499999,78
2025-02-25,TSLZ,3.39,970763.157,165
2025-02-25,UNIT,5.74,327135.166,174
2025-02-25,UVIX,30.865,2145855.89225,351
2025-02-25,UVXY,19.85,4374783.4995,390
2025-02-25,VERA,26.365,1704622.15325,105
2025-02-25,VICR,58.1,612281.62475,64
2025-02-25,VIPS,14.57,2671701.637,344
2025-02-25,VRE,15.64,282745.53650000005,112
2025-02-25,VXX,45.01,5634416.229,348
2025-02-25,WDC,48.935,20307381.6955,353
2025-02-25,WNC,11.23,656421.42875,179
2025-02-25,ZD,45.135,846269.93025,131
2025-02-26,AAOI,24.72,3538544.696,302
2025-02-26,AGL,3.15,535275.6675,276
2025-02-26,AHCO,10.61,554542.96375,293
2025-02-26,ARHS,11.225,868881.6939999999,260
2025-02-26,AS,29.5,4513002.836,320
2025-02-26,ASPI,4.53,364654.84125,233
2025-02-26,ASTS,28.565,3978680.53175,348
2025-02-26,AVNS,14.78,475367.02024999994,157
2025-02-26,BITU,38.53,988929.7432499999,51
2025-02-26,BITX,40.71,4136293.4439999997,140
2025-02-26,BTBT,2.385,661143.84375,184
2025-02-26,CAN,1.29,964045.9865,110
2025-02-26,COCO,32.74,1097927.2545,256
2025-02-26,CSTL,24.82,648627.26825,56
2025-02-26,DNA,8.94,564240.9995,214
2025-02-26,DOCN,40.58,1966429.30075,215
2025-02-26,DQ,21.61,698712.54575,184
2025-02-26,ECG,42.555,2111798.89525,98
2025-02-26,ELAN,10.815,3314982.6095,342
2025-02-26,EOSE,4.11,995109.6140000001,223
2025-02-26,ETHU,3.35,1153363.34825,163
2025-02-26,EVER,25.445,422859.23175,153
2025-02-26,EXK,3.735,549098.17725,172
2025-02-26,FLYW,9.075,1923767.4599999997,386
