date,ticker,day_open,adv_20d,n_1min_bars
2025-03-25,ACMR,28.045,2122679.42825,123
2025-03-25,ADBE,393.44,49038235.03425,295
2025-03-25,AMPL,11.82,561434.25325,106
2025-03-25,AMR,130.255,2404454.18825,91
2025-03-25,AOSL,26.98,1300154.38875,48
2025-03-25,APPF,222.3,4133359.51175,30
2025-03-25,ARRY,5.51,1548967.5672499998,213
2025-03-25,AUR,7.57,4097993.6607500003,315
2025-03-25,AXGN,18.43,368662.702,125
2025-03-25,BABX,36.25,942881.6935,53
2025-03-25,BBAR,19.45,351894.17825,54
2025-03-25,BE,22.82,5147675.80075,312
2025-03-25,BEKE,20.235,9271167.037,339
2025-03-25,BKSY,9.215,540473.443,62
2025-03-25,BMA,82.93,1015502.36525,43
2025-03-25,BTSG,18.5,1624524.9455,145
2025-03-25,BTU,14.46,3877982.7997500002,332
2025-03-25,BYND,3.26,328635.06475,93
2025-03-25,CABO,254.135,2710694.2037500003,7
2025-03-25,CAPR,12.98,596378.43675,75
2025-03-25,CCS,68.875,1290561.63375,23
2025-03-25,CHPT,0.6695,309205.08962,240
2025-03-25,CLF,9.33,8884617.68525,328
2025-03-25,CNM,49.255,5015784.589,263
2025-03-25,CNR,75.125,4021285.4195,149
2025-03-25,CONL,19.39,3368405.394,154
2025-03-25,CRWD,378.08,49624768.5245,141
2025-03-25,CTRI,16.99,399194.51324999996,55
2025-03-25,CX,6.09,3626408.23225,231
2025-03-25,CYD,18.42,412807.7176315789,40
2025-03-25,CYN,4.86,399331.974145,9
2025-03-25,DAVA,21.01,771250.3595,54
2025-03-25,DHI,128.31,22383096.675499998,220
2025-03-25,DOMH,5.825,402021.537,22
2025-03-25,EAF,1.03,435603.177,116
2025-03-25,EGO,15.94,1792608.20475,286
2025-03-25,ELF,64.425,12434210.147,165
2025-03-25,ENPH,61.75,11905059.67,205
2025-03-25,ETSY,46.17,10827186.0325,311
2025-03-25,FNKO,7.31,320565.29675,122
2025-03-25,FTNT,99.605,24677437.646250002,257
2025-03-25,FUTU,105.88,13605418.569,168
2025-03-25,GDOT,7.885,334211.254,91
2025-03-25,GOGO,8.37,401755.71525,149
2025-03-25,GOTU,3.09,398807.173,151
2025-03-25,GPRE,5.075,678139.6714999999,117
2025-03-25,HAIN,3.705,351768.73575,139
2025-03-25,HOLO,0.97,537979.9857,206
2025-03-25,IMAX,26.84,1296613.1945,106
2025-03-25,INTA,62.16,2793871.7755,75
2025-03-25,INTR,5.66,988692.52575,149
2025-03-25,IP,54.55,21939802.82125,378
2025-03-25,IQ,2.18,2646735.5365000004,153
2025-03-25,IRDM,28.3,2868381.1305,157
2025-03-25,IRTC,106.59,3719581.29525,29
2025-03-25,JTAI,4.82,543864.462368421,9
2025-03-25,KBH,56.75,3290693.63575,256
2025-03-25,KC,15.5,2884805.0295,242
2025-03-25,KOLD,21.24,1172395.5405,209
2025-03-25,KSS,9.305,3356482.09325,365
2025-03-25,LABD,7.26,3339241.23925,116
2025-03-25,LBRT,15.21,3818771.1275,272
2025-03-25,LEN,116.345,15207011.5675,279
2025-03-25,LESL,0.849,553616.12711,188
2025-03-25,LU,2.96,363280.41875,78
2025-03-25,LYFT,12.265,11760584.44075,349
2025-03-25,MGNI,13.28,3139744.131,160
2025-03-25,MIR,15.245,1924851.6787500002,154
2025-03-25,MKC,77.43,6794613.06325,306
2025-03-25,MLGO,11.21,1208848.5165000001,322
2025-03-25,MRVI,2.29,549275.64075,163
2025-03-25,MSTU,7.49,3694547.5335,292
2025-03-25,MSTX,35.18,3356556.416,150
2025-03-25,NAIL,64.94,820066.7685,25
2025-03-25,NBR,43.85,877983.01575,120
2025-03-25,NEXT,9.435,363261.08900000004,251
2025-03-25,NN,12.775,491808.13049999997,117
2025-03-25,OPTU,2.71,463002.34225000005,83
2025-03-25,OSCR,13.79,4462187.843,265
2025-03-25,OSPN,16.045,361596.59325000003,32
2025-03-25,PBR,14.1,11492952.824499998,321
2025-03-25,PHM,103.755,9024214.50375,171
2025-03-25,PRCH,6.865,435380.4765,256
2025-03-25,PRCT,60.115,3394978.603,127
2025-03-25,PRMB,32.19,4324856.38175,332
2025-03-25,QBTS,8.54,5835841.53275,338
2025-03-25,QFIN,43.745,2358214.9475000002,199
2025-03-25,QNTM,5.46,337358.12674999994,8
2025-03-25,QRVO,72.685,6485824.515,152
2025-03-25,QUBT,8.62,1866613.73525,326
2025-03-25,RBRK,73.745,5601867.1805,211
2025-03-25,RCAT,5.91,1028604.1852500001,229
2025-03-25,RDW,11.495,805529.818,131
2025-03-25,RGTI,9.55,10005969.3755,348
2025-03-25,RUM,7.845,897622.8015000001,226
2025-03-25,RUN,6.275,3326815.3775,314
2025-03-25,SAIL,21.445,6664757.9975,263
2025-03-25,SARO,28.52,1365051.9370000002,256
2025-03-25,SBSW,4.305,920127.5362500001,95
2025-03-25,SFM,145.54,13206881.63825,158
2025-03-25,SION,12.5,643664.8615625,19
2025-03-25,SKY,95.855,3248271.2797499998,18
2025-03-25,SMCX,48.64,4315831.742000001,126
2025-03-25,SNEX,79.03,1817004.8117499999,97
2025-03-25,STNE,11.38,3008095.137,296
2025-03-25,SUPN,32.47,1453247.57,87
2025-03-25,SUPV,14.305,424948.6415,74
2025-03-25,TDS,37.315,1458161.3685,125
2025-03-25,TECX,21.29,528898.50925,60
2025-03-25,TGS,27.76,305164.406,37
2025-03-25,TIGR,8.78,1732928.8142500003,271
2025-03-25,TLN,211.51,17288692.859,109
2025-03-25,TME,14.07,6148976.04225,283
2025-03-25,TOL,107.91,13649082.879750002,156
2025-03-25,TPH,31.935,1583593.57975,106
2025-03-25,TSLL,11.49,25612463.45775,380
2025-03-25,TSLQ,38.82,3331550.6895,264
2025-03-25,TSLR,18,608374.3255,46
2025-03-25,TSLS,10.275,951316.8952500001,65
2025-03-25,TSLT,15.7,1230630.2820000001,227
2025-03-25,TSLZ,3.56,1560338.69625,205
2025-03-25,TTAM,13.31,818637.0121875,71
2025-03-25,TTAN,95.2,1180518.67075,31
2025-03-25,U,22.77,16363035.16925,384
2025-03-25,UHS,184.74,8957216.285,125
2025-03-25,UVIX,28.795,3552333.653,72
2025-03-25,VG,11.61,6345750.69025,268
2025-03-25,VISN,5.76,1162018.179,233
2025-03-25,VITL,31.395,2682230.9065,87
2025-03-25,VSAT,11.46,1453583.50175,182
2025-03-25,WOLF,6.37,2355199.5445,218
2025-03-25,XIFR,9.48,1345165.10175,209
2025-03-25,XPEV,20.46,6912465.3549999995,309
2025-03-25,XPOF,8.29,324177.05575,86
2025-03-25,YOU,26.64,2704319.359,180
2025-03-25,YPF,36.63,1908061.48,163
2025-03-26,AAP,37.21,5874985.6532499995,161
2025-03-26,ACHC,28.845,4048083.56925,186
2025-03-26,ADNT,14.62,888106.833,209
2025-03-26,ADP,299,16313107.995,218
2025-03-26,AMCR,9.425,10981796.32675,247
2025-03-26,ASH,58.71,2091925.97125,131
2025-03-26,ATRC,34.45,1186171.13675,116
2025-03-26,BBBY,4.815,1001211.1112500001,355
2025-03-26,BIDU,96.01,19446229.351,268
2025-03-26,CHPT,0.6842,309205.08962,226
2025-03-26,CHTR,375.12,20328401.673,191
2025-03-26,CLMT,12.375,1092950.751,71
2025-03-26,CNC,59.23,13495260.7845,285
