date,ticker,day_open,adv_20d,n_1min_bars
2025-03-18,AAOI,20.56,4425875.5035,260
2025-03-18,ACLX,69.505,2664546.479,101
2025-03-18,AHCO,9.69,1177914.6570000001,170
2025-03-18,ALHC,15.92,1653018.0210000002,291
2025-03-18,AMN,24.175,1442543.58775,115
2025-03-18,AMRC,11.35,366313.22475,148
2025-03-18,ARBE,1.415,318044.38475,177
2025-03-18,ASTH,30.395,486524.24199999997,44
2025-03-18,AUR,6.81,4097993.6607500003,258
2025-03-18,BBNX,16.27,440012.737,92
2025-03-18,BFLY,2.58,625629.99025,117
2025-03-18,BIRK,42.4,4858891.65775,190
2025-03-18,BROS,60.935,11535047.14975,196
2025-03-18,CABO,237.375,2710694.2037500003,22
2025-03-18,CADL,8.52,311352.6285,136
2025-03-18,CALX,33.145,1064578.2585,109
2025-03-18,CCI,102.21,7156081.34025,337
2025-03-18,CELH,29.895,14044123.925,371
2025-03-18,CGON,27.35,659593.2622499999,77
2025-03-18,CNTA,16.4,1192688.1345000002,110
2025-03-18,CNX,31.32,4358847.19825,285
2025-03-18,CYN,4.725,399331.974145,4
2025-03-18,DFIN,43.61,1043610.74125,128
2025-03-18,DIN,23.81,556856.89725,73
2025-03-18,DNUT,5.33,1133003.3645,206
2025-03-18,DOCU,82.755,6836010.72375,197
2025-03-18,DYN,11.98,1092694.8172499998,185
2025-03-18,EVGO,2.55,377073.84275,120
2025-03-18,FIGS,4.47,473474.32725,155
2025-03-18,FINV,10.01,429939.79524999997,178
2025-03-18,FN,218.48,12422562.3825,108
2025-03-18,FNGD,16.6,927161.8782500001,113
2025-03-18,GDXD,6.45,344073.4805,71
2025-03-18,GEL,14.41,434435.57649999997,156
2025-03-18,GH,41.43,7780796.847749999,162
2025-03-18,GOGO,6.45,401755.71525,180
2025-03-18,GOLD,27.4,435687.52249999996,44
2025-03-18,GRPN,15.6,387617.6925,204
2025-03-18,GRRR,27.34,1036126.23125,85
2025-03-18,HPP,2.97,336268.96525,104
2025-03-18,ICFI,85.625,2150754.031,27
2025-03-18,INR,17.01,448551.38025000005,100
2025-03-18,INVZ,0.6798,386411.11913,75
2025-03-18,IVVD,0.7082,445433.93639000005,54
2025-03-18,JDST,16.23,505608.68499999994,146
2025-03-18,JTAI,4.56,543864.462368421,18
2025-03-18,KLC,16.37,399991.46525,87
2025-03-18,KRMN,34.29,2866756.6070833337,40
2025-03-18,KRYS,182.49,3272040.69125,42
2025-03-18,KURA,7.06,728562.993,168
2025-03-18,LAES,3.43,611510.887,146
2025-03-18,LCID,2.195,4980305.70375,290
2025-03-18,LTBR,9.195,493984.1045,66
2025-03-18,METC,9.27,349774.4705,122
2025-03-18,MLGO,4.005,1208848.5165000001,104
