date,ticker,day_open,adv_20d,n_1min_bars
2025-02-10,AAOI,29.845,3538544.696,244
2025-02-10,ACHR,9.115,4034927.4402499995,368
2025-02-10,AFRM,75.6,10686772.8195,357
2025-02-10,AI,33.97,4336522.464,267
2025-02-10,AIOT,6.39,554356.8400000001,338
2025-02-10,AMSC,32.975,727441.19825,117
2025-02-10,APLD,7.88,3522423.9634999996,295
2025-02-10,ARBE,2.775,913851.0215,221
2025-02-10,ARVN,18.445,597268.3795,172
2025-02-10,ASO,50.48,4565842.6635,212
2025-02-10,ASTS,27.47,3978680.53175,378
2025-02-10,ATKR,65.175,2623725.6025,174
2025-02-10,AUR,7.32,3364096.8545000004,296
2025-02-10,AXSM,123.47,4153349.05225,276
2025-02-10,BB,5.31,2370200.9305,270
2025-02-10,BBAR,21.18,515001.44525000005,100
2025-02-10,BCAX,12.345,280505.804,52
2025-02-10,BOIL,62.09,1815592.1486842106,91
2025-02-10,BYRN,30.75,480792.322,131
2025-02-10,CDNA,22.18,972760.4005000001,153
2025-02-10,CENX,20.42,1423279.2492499999,285
2025-02-10,CLF,10.895,5111217.477750001,379
2025-02-10,COCO,37.96,1097927.2545,119
2025-02-10,CPRI,21.58,3365797.367,293
2025-02-10,CRK,17.615,2312671.6395,174
2025-02-10,CRNC,14.83,3355862.175,303
2025-02-10,CVI,18.59,742182.22025,80
2025-02-10,DBI,5.05,301534.9615,138
2025-02-10,DOCS,80.39,3504170.8329999996,292
2025-02-10,ESTA,28.48,1795059.39725,37
2025-02-10,FTAI,114.75,35234083.30625,213
2025-02-10,GME,25.575,3226012.53225,294
2025-02-10,GOOS,9.635,381469.3955,159
2025-02-10,GPRE,6.705,659137.24275,232
2025-02-10,GRAL,32.61,1203840.829,158
2025-02-10,GRRR,20.1,564272.659,104
2025-02-10,GSAT,1.53,556881.16025,217
2025-02-10,HE,9.35,809763.00675,199
2025-02-10,IMNM,10.975,409762.02375000005,148
2025-02-10,INTC,19.255,38213404.599,364
2025-02-10,IONQ,39.77,13775332.527,315
2025-02-10,IRWD,1.655,321227.72774999996,263
2025-02-10,JELD,8.75,286730.28475,121
2025-02-10,KITT,1.625,416371.78425,131
2025-02-10,KOS,3.09,1271613.3855,325
2025-02-10,KULR,2.04,705703.97175,287
2025-02-10,LABD,6.725,1773740.56225,196
2025-02-10,LAES,3.905,1491159.375,221
2025-02-10,LB,65.865,2998886.1807500003,101
2025-02-10,LEU,106.99,1956953.58825,134
2025-02-10,LQDT,33.17,452738.54575000005,98
2025-02-10,LU,2.52,326695.60274999996,157
2025-02-10,LUCK,11.045,263377.95825,99
2025-02-10,LUNR,18.705,5082976.78075,349
2025-02-10,MNDY,315.2,12974853.30725,279
2025-02-10,MP,24.24,2611501.03875,300
2025-02-10,MYSE,3.065,763505.01125,47
2025-02-10,NBIS,38.92,8820386.713,319
2025-02-10,NET,167.72,17846426.1285,317
2025-02-10,NSP,76.95,1101161.6435,98
2025-02-10,NVDL,57.105,7214738.85325,298
2025-02-10,NVDU,80.95,1171100.971,34
2025-02-10,NVDX,12.17,3294756.6122500002,166
2025-02-10,NXTS,1.02,266012.139035,25
2025-02-10,OMCL,40.18,776017.7735,92
2025-02-10,ORIC,12.02,397622.9405,211
2025-02-10,PAHC,23.52,279955.086,67
2025-02-10,PDYN,10.57,631264.6934999999,212
