date,ticker,day_open,adv_20d,n_1min_bars
2025-03-11,AAOI,14.18,4425875.5035,254
2025-03-11,ADPT,6.67,788905.549,273
2025-03-11,AGL,3.6,728812.3462500001,256
2025-03-11,AIOT,5.52,947551.4637499999,209
2025-03-11,ALAB,61.33,24256437.75925,342
2025-03-11,ALHC,14.79,1653018.0210000002,282
2025-03-11,AMSC,17.57,1262369.81425,66
2025-03-11,AROC,22.77,1823972.42075,239
2025-03-11,ARQT,14.365,1801649.10775,258
2025-03-11,ASAN,12.19,2369871.71175,355
2025-03-11,BE,22.8,5147675.80075,328
2025-03-11,BLFS,24.49,482840.80350000004,96
2025-03-11,CENX,16.915,2135451.81225,227
2025-03-11,CIEN,60.3,10557696.5695,345
2025-03-11,COHR,63.1,21651412.960249998,349
2025-03-11,CONL,16.73,3368405.394,176
2025-03-11,CRDO,39.415,15800468.469,341
2025-03-11,CRWD,310.065,49624768.5245,330
2025-03-11,CYD,20.85,412807.7176315789,85
2025-03-11,DAVE,81.285,2002949.25025,49
2025-03-11,ESTC,90.495,8206379.12075,273
2025-03-11,ET,17.24,15089550.858250001,376
2025-03-11,EXK,3.86,822085.9395,265
2025-03-11,FAZ,6.5,1480415.85625,249
2025-03-11,FIX,311.485,13953358.49425,86
2025-03-11,FN,189.515,12422562.3825,187
2025-03-11,FTAI,98.835,17945960.2965,215
2025-03-11,GEV,268.99,63600728.826249994,338
2025-03-11,GH,36.57,7780796.847749999,281
2025-03-11,GOGO,6.685,401755.71525,205
2025-03-11,GRND,15.225,1806068.9042500001,276
2025-03-11,GRRR,23.785,1036126.23125,167
2025-03-11,HIMS,34.74,42975831.482999995,386
2025-03-11,HSAI,18.48,2211875.63075,344
2025-03-11,IAG,5.21,2952081.7539999997,278
2025-03-11,JBLU,5.72,2992673.13925,378
2025-03-11,JTAI,4.08,543864.462368421,16
2025-03-11,KOLD,16.76,1172395.5405,227
2025-03-11,KRMN,28.2,2866756.6070833337,181
2025-03-11,KRNT,20.04,503217.428,79
2025-03-11,LABD,8.11,3339241.23925,164
2025-03-11,LEGN,33.97,3044296.361,215
2025-03-11,LITE,59.01,14814656.720000003,349
2025-03-11,LMB,70.78,604459.9765,60
2025-03-11,MDB,179.79,21621668.4835,275
2025-03-11,MEG,16.29,378493.38300000003,98
2025-03-11,METC,9.21,349774.4705,213
2025-03-11,MMYT,83.995,5760499.0365,156
2025-03-11,MSTU,4.235,3694547.5335,342
2025-03-11,MSTX,20.13,3356556.416,273
2025-03-11,MSTZ,23.445,3612841.2715,359
2025-03-11,MYRG,105.7,1674321.6300000001,92
2025-03-11,NEO,9.16,656574.4125,228
2025-03-11,NIO,4.745,9677887.069500001,385
2025-03-11,NNE,25.385,2163492.8449999997,102
2025-03-11,NVD,35.13,759524.438,51
2025-03-11,NVDL,36.87,11122823.774,276
2025-03-11,NVDS,30.4,629138.6605,59
2025-03-11,NVTS,2.335,347423.9245,221
2025-03-11,NXT,42.23,6797865.5025,310
2025-03-11,OCUL,7.85,405136.12475,236
2025-03-11,OKLO,23.74,13536668.37575,339
2025-03-11,PAY,26.01,487840.37275,237
2025-03-11,PLTU,23.63,966352.8835000001,116
2025-03-11,PPTA,8.35,392401.56275,117
2025-03-11,PTIR,113.63,2481028.3085000003,66
2025-03-11,QBTS,4.64,5835841.53275,338
2025-03-11,QFIN,39,2358214.9475000002,190
2025-03-11,RDDT,111.98,50439007.082499996,350
2025-03-11,RDW,9.67,805529.818,213
2025-03-11,REAL,5.05,959307.3145,277
2025-03-11,RKLB,16.195,11303956.318500001,385
2025-03-11,RR,1.42,426280.4377499999,120
2025-03-11,SBIT,14.07,675320.98375,275
2025-03-11,SBSW,3.9,920127.5362500001,223
2025-03-11,SDGR,20.08,1053907.4765,120
2025-03-11,SDOW,53.42,2974717.143,291
2025-03-11,SEPN,5.865,330128.71225,56
2025-03-11,SION,14.97,643664.8615625,85
2025-03-11,SLDB,5.015,660804.34325,183
2025-03-11,SMCI,36.78,102235580.87,390
2025-03-11,SMCX,40.84,4315831.742000001,194
2025-03-11,SMR,14.43,6128176.4655,356
2025-03-11,SMST,6.88,3307810.358,372
2025-03-11,SOXS,27.09,38283336.19225,388
2025-03-11,SPRY,10.7,817721.0205,209
2025-03-11,TDS,31.975,1458161.3685,148
2025-03-11,TEM,44.55,25842044.2185,365
2025-03-11,TEVA,14.685,7744021.8435,386
2025-03-11,TLN,165.28,17288692.859,158
2025-03-11,TSLL,7.59,25612463.45775,391
2025-03-11,TSLR,11.99,608374.3255,220
2025-03-11,TWST,36.7,3285957.1517499997,177
2025-03-11,UEC,4.72,1950378.4640000002,215
2025-03-11,UUUU,3.97,1272005.405,203
2025-03-11,UVIX,48.52,3552333.653,128
2025-03-11,UVXY,27.99,7708504.6155,372
2025-03-11,VG,8.92,6345750.69025,372
2025-03-11,VIVS,0.406,312234.9196857143,15
2025-03-11,VXX,57.33,7207948.036499999,306
2025-03-11,WEAV,10.7,1087194.3625,137
2025-03-11,WVE,9.49,485252.6415,182
2025-03-12,AAOI,16.24,4425875.5035,319
2025-03-12,ACLX,68.9,2664546.479,97
2025-03-12,AGL,3.895,728812.3462500001,233
2025-03-12,AMDL,4.87,2324901.13575,167
2025-03-12,ANIP,61.87,584277.792,87
2025-03-12,APPS,3.045,877277.0205,232
2025-03-12,AQN,4.7,1492406.13575,149
2025-03-12,ARCT,13.58,310808.76775,74
2025-03-12,ARVN,8.37,1329373.2435,350
2025-03-12,ARWR,15.07,1281451.30375,213
2025-03-12,ASTH,27.96,486524.24199999997,114
2025-03-12,BBAR,17.68,351894.17825,59
2025-03-12,BEAM,27.26,2093086.6184999999,259
2025-03-12,BLMN,8.645,1568901.96175,267
2025-03-12,BLND,3.465,544586.18025,245
2025-03-12,BYND,3.075,328635.06475,119
2025-03-12,BZ,17.92,4420642.52175,280
2025-03-12,CALY,5.73,756375.4515,236
2025-03-12,CASY,391.39,7673387.083,66
2025-03-12,CDE,5.565,5738890.9542499995,280
2025-03-12,CENX,18.475,2135451.81225,225
2025-03-12,CLDX,20.56,878270.214,210
2025-03-12,CLF,9.08,8884617.68525,381
2025-03-12,CXM,9.03,418429.17225,274
2025-03-12,CXW,19.185,1409776.955,184
2025-03-12,CYN,3.75,399331.974145,4
2025-03-12,DK,13.71,1294698.299,243
2025-03-12,DNLI,15.285,1080364.9397500001,224
2025-03-12,EBS,5.825,357453.794,167
2025-03-12,EOLS,12.755,593872.47175,138
2025-03-12,EVH,9.435,1348632.667,195
2025-03-12,EXK,4.55,822085.9395,298
2025-03-12,FAZ,6.44,1480415.85625,275
2025-03-12,FNGD,16.545,927161.8782500001,185
2025-03-12,FSM,5.06,1508583.2440000002,305
2025-03-12,FWRG,16.81,526861.747,159
2025-03-12,GEO,24.55,3666754.243,303
2025-03-12,GERN,1.605,2041267.92275,261
2025-03-12,GGAL,55.495,2164916.844,171
2025-03-12,GPRE,5.11,678139.6714999999,203
2025-03-12,GRPN,12.32,387617.6925,337
2025-03-12,GXO,37.035,6225236.086,108
2025-03-12,IBTA,40.49,1043319.72,64
2025-03-12,INTR,5.2,988692.52575,239
2025-03-12,IONQ,20.175,8548421.743,371
2025-03-12,JANX,30.17,1726810.6232499997,171
